trade_date,ticker,sector,company_name,shares_held,buy_price,close_price,adj_close,volume,daily_return,cumulative_return,market_value,cost_basis,unrealized_pnl,pnl_pct
2022-01-20,XOM,Energy,ExxonMobil Holdings Corporation,45.0,72.0,73.27,62.7201,26774600,0.00218909,0.15313167,2822.4045,3240.0,-417.5954999999999,-12.888749999999996
2022-01-21,AAPL,Technology,Apple Inc.,50.0,145.0,162.41,158.7781,122848900,-0.01276433,-0.10768592,7938.905,7250.0,688.9049999999997,9.50213793103448
2022-01-21,AMZN,Consumer,"Amazon.com, Inc.",30.0,140.0,142.643,142.643,163972000,-0.05950187,-0.1629153,4279.29,4200.0,79.28999999999996,1.8878571428571431
2022-01-21,BRK-B,Financials,Berkshire Hathaway Inc.,12.0,310.0,305.22,305.22,6535400,-0.01861676,0.01472788,3662.6400000000003,3720.0,-57.35999999999967,-1.541935483870959
2022-01-21,CAT,Industrials,Caterpillar Inc.,15.0,210.0,214.09,198.4913,3754700,-0.01172489,0.03926935,2977.3695,3150.0,-172.6305000000002,-5.480333333333336
2022-01-21,CVX,Energy,Chevron Corporation,25.0,125.0,126.91,105.9752,13055700,-0.01198942,0.06414479,2649.38,3125.0,-475.6199999999999,-15.219839999999998
2022-01-21,GOOGL,Technology,Alphabet Inc.,20.0,130.0,130.3515,129.2058,55652000,-0.02217416,-0.10097128,2584.116,2600.0,-15.884000000000015,-0.6109230769230687
2022-01-21,GS,Financials,"The Goldman Sachs Group, Inc.",10.0,350.0,343.91,307.7701,4904100,-0.01203648,-0.13006828,3077.701,3500.0,-422.299,-12.06568571428571
2022-01-21,HON,Industrials,Honeywell International Inc.,20.0,195.0,202.7354,184.2745,4492595,-0.01828439,-0.00822005,3685.49,3900.0,-214.51000000000022,-5.500256410256416
2022-01-21,JNJ,Healthcare,Johnson & Johnson,35.0,165.0,164.87,145.0347,10550300,-0.00229898,-0.0388828,5076.214499999999,5775.0,-698.7855000000009,-12.100181818181827
2022-01-21,JPM,Financials,JPMorgan Chase & Co.,25.0,150.0,145.08,129.5629,20705400,-0.01747291,-0.09740506,3239.0725,3750.0,-510.9274999999998,-13.624733333333324
2022-01-21,KO,Consumer,The Coca-Cola Company,60.0,58.0,60.45,52.9395,26643200,-0.00493777,0.01939252,3176.3700000000003,3480.0,-303.62999999999965,-8.724999999999996
2022-01-21,MSFT,Technology,Microsoft Corporation,30.0,290.0,296.03,285.1636,57984400,-0.01846837,-0.11566868,8554.908,8700.0,-145.09200000000055,-1.6677241379310437
2022-01-21,NVDA,Technology,NVIDIA Corporation,40.0,220.0,23.374,23.3004,718958000,-0.03213023,-0.22399512,932.016,8800.0,-7867.984,-89.40890909090909
2022-01-21,PFE,Healthcare,Pfizer Inc.,100.0,48.0,52.79,41.5881,41059000,-0.02331103,-0.06813731,4158.8099999999995,4800.0,-641.1900000000005,-13.358125000000006
2022-01-21,PG,Consumer,The Procter & Gamble Company,40.0,155.0,162.62,145.7605,10900400,0.00382701,0.00367149,5830.42,6200.0,-369.5799999999999,-5.960967741935479
2022-01-21,UNH,Healthcare,UnitedHealth Group Incorporated,10.0,470.0,461.17,425.3001,4273200,-0.00395257,-0.08184687,4253.001,4700.0,-446.9989999999998,-9.510617021276598
2022-01-21,V,Financials,Visa Inc.,20.0,210.0,205.93,198.9926,16200200,-0.03928134,-0.0699994,3979.8520000000003,4200.0,-220.14799999999968,-5.241619047619043
2022-01-21,XOM,Energy,ExxonMobil Holdings Corporation,45.0,72.0,72.17,61.7784,35995200,-0.01501433,0.13581818,2780.028,3240.0,-459.9720000000002,-14.196666666666669
2022-01-24,AAPL,Technology,Apple Inc.,50.0,145.0,161.62,158.0057,162294600,-0.00486465,-0.11202671,7900.285,7250.0,650.2849999999999,8.969448275862062
2022-01-24,AMZN,Consumer,"Amazon.com, Inc.",30.0,140.0,144.544,144.544,155624000,0.01332698,-0.15175949,4336.320000000001,4200.0,136.32000000000062,3.2457142857142935
2022-01-24,BRK-B,Financials,Berkshire Hathaway Inc.,12.0,310.0,303.73,303.73,8504200,-0.00488172,0.00977426,3644.76,3720.0,-75.23999999999978,-2.0225806451612844
2022-01-24,CAT,Industrials,Caterpillar Inc.,15.0,210.0,214.33,198.7138,5107300,0.00112096,0.04043432,2980.707,3150.0,-169.29300000000012,-5.374380952380956
2022-01-24,CVX,Energy,Chevron Corporation,25.0,125.0,127.18,106.2007,19513700,0.00212786,0.06640914,2655.0175,3125.0,-469.9825000000001,-15.03944
